french	russian	notes
Gwen :Eh ben moi, je dis, ça doit faire plaisir. On doit se sentir bien avec un mec qui a la classe. Je ne dis pas qu’il faut forcément la Verbeira, hein, ne me fais pas dire ce que je n’ai pas dit. Mais un ‘tite classe. L’air de rien, comme ça, l’air qu’on vous regarde, vous et pas une autre et qu’on se dit, ils vont bien ensemble. 	Gwen : А я говорю, это должно быть приятно. Должно быть хорошо рядом с парнем, у которого есть класс. Я не говорю, что обязательно нужна Вербейра, не перевирай мои слова. Но хоть капелька класса. Так, вроде между делом: будто на вас смотрят, на вас, а не на другую, и думают — они хорошо смотрятся вместе.	« avoir la classe » signifie avoir de l’allure ; « ne me fais pas dire » refuse qu’on déforme ses propos. « есть класс » et « не перевирай мои слова » gardent ces deux idées.
Khal : C’est normal quand même que ça fasse envie de faire envie, non ? Mais c’est toujours aux filles de faire des efforts. 	Khal : Нормально ведь, что хочется вызывать желание, правда? Но всегда девчонкам приходится стараться.	« ça fasse envie de faire envie » joue sur le désir de susciter le désir. « хочется вызывать желание » rend ce double mouvement.
Gwen : Eux, les pieds qui puent et les cheveux fillasse, ça ne les gêne pas. Trois pétouilles d’efforts au début et après… Ma mère, à chaque fois qu’elle a un nouveau copain, c’est le même scénario. Moi j’y vois trop clair pour y tomber.  N’empêche que ça fait peur de se tromper. Et Stan, il n’est pas mieux que les autres. Bon, il est sympa, je ne peux pas dire. Et depuis le début. Non, c’est vrai, il est gentil. Et puis il peut être drôle aussi. Là forcément ça ne se voyait pas, mais des fois, si, il peut être drôle. C’est ce qui m’a plu chez lui. Les mecs de ma mère, ils ne sont jamais drôles. Jamais. Je ne sais pas. 	Gwen : Их вонючие ноги и жидкие волосы их не смущают. Три жалких усилия в начале, а потом… У моей мамы каждый раз, когда новый парень, один и тот же сценарий. Я слишком хорошо всё вижу, чтобы попасться. И всё равно страшно ошибиться. И Стэн не лучше других. Ладно, он милый, не могу сказать. И с самого начала. Нет, правда, он добрый. И еще он может быть смешным. Сейчас, конечно, этого не было видно, но иногда — да, он может быть смешным. Это мне в нем и понравилось. Парни моей мамы никогда не бывают смешными. Никогда. Не знаю.	« trois pétouilles d’efforts » désigne de tout petits efforts sans valeur ; « j’y vois trop clair » signifie qu’elle croit comprendre le piège. « три жалких усилия » et « слишком хорошо всё вижу » gardent l’amertume.
Khal : C’est peut-être l’âge. 	Khal : Может, возраст.	
Gwen : Moi je voudrais le bon, direct. Toi tu dis que non. 	Gwen : Я бы хотела сразу правильного. А ты говоришь — нет.	
Khal : Non, ça marche pas comme ça. Il faut en essayer plein avant. 	Khal : Нет, так не бывает. Сначала надо перепробовать многих.	
Gwen : Mais ma mère, quand je vois qu’elle essaie encore, je ne sais pas… Le cousin de Richard, je me demande s’il est drôle.	Gwen : Но когда я вижу, что моя мать всё еще пробует, я не знаю… Интересно, двоюродный брат Ришара смешной?	
Stan en avant scène en hauteur: 	Стэн на авансцене, наверху:	
Stan : Gwen, on dirait pas comme ça, hein ? On lui donnerait le Bon Dieu sans confession, pas vrai ? Eh bien, que je vais vous dire un truc, vous le répétez pas,  que ce qu’on donne à Gwen, on n’est jamais sûr de le récupérer. Voilà, c’est dit. Tant pis. Fallait pas me chercher. Elle va l’avoir, la note. Sous le nez. Et elle va trouver le moyen de me la régler. Normal, non ? Quand on a des dettes. Si elle croit pouvoir m’emberlificoter, jusqu’à l’éternité… Moi je la connais trop bien. C’est pour ça qu’elle s’acharne. Parce que moi, elle pense que je vais me laisser faire. Mais ce qu’elle ne sait pas, c’est que j’en ai assez. Je vais aller lui parler. Il faut que je lui parle. Je vais lui dire. Je vais lui demander. Lui demander de… Non, rien, je ne vais rien demander. Juste lui dire. Normal, non ? 	Stan : Гвен — по ней и не скажешь, да? Ей бы поверили без единой клятвы, правда? Так вот, я вам кое-что скажу, только не повторяйте: что дают Гвен, никогда не ясно, вернет ли она. Вот, сказано. Плевать. Не надо было меня задевать. Она получит счет. Прямо под нос. И найдет способ мне его оплатить. Нормально, нет? Когда есть долги. Если она думает, что сможет водить меня вокруг пальца до бесконечности… Я ее слишком хорошо знаю. Поэтому она и давит. Потому что думает, что я позволю. Но чего она не знает — мне надоело. Я пойду с ней поговорю. Надо с ней поговорить. Я ей скажу. Я попрошу ее. Попрошу… Нет, ничего, ничего просить не буду. Просто скажу. Нормально, нет?	« donner le Bon Dieu sans confession » signifie croire quelqu’un parfaitement innocent ; « emberlificoter » veut dire embrouiller ou tromper par des paroles. « поверили без единой клятвы » et « водить вокруг пальца » rendent ces images.
MUSIQUE, ils changent de place, entrent et sortent	МУЗЫКА, они меняются местами, входят и выходят.	
3 – Acapulco ou Honolulu	3 – Акапулько или Гонолулу	
Liz, Vay, Tom, Ria, Gwen	Лиз, Вэй, Том, Рия, Гвен	
Vay qui a retiré son casque (comme si c’était à elle de jouer): Le cousin de Richard, vous voyez ?	Vay, сняв наушники (как будто ее очередь играть) : Двоюродный брат Ришара, понимаете?	« vous voyez ? » est la version plurielle/polie de « tu vois ? », un appel complice au groupe. « понимаете? » garde la relance orale.
Liz : Quoi ?	Liz : Что?	
Vay : Vous voyez qui ?	Vay : Понимаете, кто?	« Vous voyez qui ? » vérifie que le groupe identifie bien le cousin. « Понимаете, кто? » garde la répétition.
Ria : Qui tape le costard ?	Ria : Который носит костюм?	« taper le costard » est une formule familière pour porter un costume, en se donnant une allure. « носит костюм » donne le sens de cette mise en scène sociale.
Vay : Oui, il va emmener sa copine à Acapulco.	Vay : Да, он повезет свою девушку в Акапулько.	
Tom : C’est où ça ?	Tom : Это где?	
Vay : Ou à Honolulu, je ne sais plus.	Vay : Или в Гонолулу, уже не помню.	
Tom : Connais pas.	Tom : Не знаю такого.	
Ria : Moi non plus.	Ria : Я тоже.	
Liz : C’est Richard qui te l’a dit ?	Liz : Это Ришар тебе сказал?	
Tom : C’est au Brésil, non ?	Tom : Это в Бразилии, нет?	
Ria : Acapulco ou Honolulu ?	Ria : Акапулько или Гонолулу?	
Vay : Acapulco.	Vay : Акапулько.	
Liz : Tu viens de dire Honolulu.	Liz : Ты только что сказала Гонолулу.	
Vay : Mais non, je t’ai dit que je ne savais plus.	Vay : Да нет, я сказала, что уже не помню.	
Ria : Alors c’est peut-être là-bas.	Ria : Значит, может, там.	
Tom : Ils vont boire des mojitos au bord de la piscine.	Tom : Они будут пить мохито у бассейна.	« mojitos au bord de la piscine » évoque un cliché de vacances luxueuses et exotiques. « мохито у бассейна » garde cette image de carte postale.
Liz : La chance !	Liz : Везет!	
Vay : Hmmm	Vay : Ммм.	
Liz : La mère de sa copine, elle accepte de la laisser partir ?	Liz : А мать его девушки согласна отпустить ее?	
Vay / Gwen : Avec un mec plein aux as comme lui, elle ne risque rien. Qu’est-ce que tu veux qu’il lui arrive ?	Vay / Gwen : С таким набитым деньгами парнем, как он, ей ничего не грозит. Что с ней может случиться?	« plein aux as » signifie très riche, littéralement rempli d’argent. « набитым деньгами » garde l’image familière.
Liz : Moi, ma mère, elle ne voudrait jamais. Je ne peux rien faire de toute façon. Elle dirait que c’est trop loin.	Liz : Моя мама никогда бы не согласилась. Мне всё равно ничего нельзя. Она сказала бы, что это слишком далеко.	
Tom : De quoi ? Acapulco ou Honolulu ?	Tom : Что? Акапулько или Гонолулу?	
Liz : C’est toujours loin. Déjà elle ne veut pas que je dorme chez Raph alors qu’on habite à 500 mètres.	Liz : Это всегда далеко. Она даже не хочет, чтобы я ночевала у Рафа, хотя мы живем в пятистах метрах.	
Tom : Pourtant il est déjà bien riche, Raph.	Tom : Хотя Раф уже довольно богат.	
Liz : Elle trouve qu’on est trop jeunes.	Liz : Она считает, что мы слишком молодые.	
Vay /Gwen : C’est vrai que le cousin de Richard, il est quand même plus âgé. Il ne doit pas demander à ses parents pour partir au Brésil.	Vay /Gwen : Правда, двоюродный брат Ришара все-таки старше. Ему, наверное, не надо спрашивать родителей, чтобы уехать в Бразилию.	
Ria : Et elle, elle a notre âge ?	Ria : А она нашего возраста?	
Vay /Tom : Elle, ça ne doit pas être pareil. Elle ne doit pas avoir de parents qui s’occupent d’elle. Est-ce qu’elle a seulement un père ?	Vay /Tom : С ней, наверное, не так. У нее, наверное, нет родителей, которые о ней заботятся. У нее вообще есть отец?	
Liz : Et sa mère ? Je suis sure qu’elle a une tronche d’alcoolique !	Liz : А мать? Уверена, у нее физиономия алкоголички!	
Vay : Je la plains.	Vay : Мне ее жалко.	
Tom : Moi aussi, je la plains.	Tom : Мне тоже ее жалко.	
Ria : Une pauvre fille	Ria : Бедная девчонка.	
Vay : Je n’aimerais pas être elle.	Vay : Я бы не хотела быть ею.	
Liz : Moi non plus. Je n’aimerais pas être elle.	Liz : Я тоже. Я бы не хотела быть ею.	
Gwen : Moi, j’aimerais bien être elle	Gwen : А я бы хотела быть ею.	
Tom : Pas moi, je préfère être moi. De loin	Tom : А я нет, я предпочитаю быть собой. Намного.	
Vay, Ria, Liz, Tom, Raph	Вэй, Рия, Лиз, Том, Раф	
Vay : N’empêche, ça fait un peu conte de fées… 	Vay : И всё-таки это немного сказка…	
Ria : Moi, niveau conte de fées, ce serait plutôt Cendrillon… Avant le bal. Parce que le prince… 	Ria : У меня со сказкой скорее была бы Золушка… До бала. Потому что принц…	
Tom revient et commence à réparer son vélo. 	Том возвращается и начинает чинить свой велосипед.	
Liz : Vay, ça va toujours avec ta belle-mère ?	Liz : Вэй, с мачехой всё еще нормально?	
Moon : Toujours le grand amour avec elle ?	Moon : По-прежнему большая любовь с ней?	
Tom : Oui, comment elle va ta Grosse Pizza ?	Tom : Да, как там твоя Большая Пицца?	« Grosse Pizza » est un sobriquet cruel qui réduit la belle-mère à son corps. « Большая Пицца » garde la moquerie enfantine.
Raph : Elle est toujours là ? T’as pas réussi à t’en débarrasser ?	Raph : Она всё еще там? Не смогла от нее избавиться?	
Ils rient	Они смеются.	
Vay : Mais la belle-mère,  Oui, elle est là, et bien là, partout, dans chaque pièce, dans la cuisine, dans la salle de bains, dans le salon, même dans ma chambre. Elle occupe tout l’espace. C’est infernal. Elle ne s’occupe de rien. Toujours moi qui fais tout. Mon père dit que j’exagère, mais je vois bien qu’il étouffe aussi. Dans ma chambre, elle fouille, je le sais, j’ai des preuves, et à mon père, elle ment, 	Vay : А мачеха — да, она там, и еще как, везде, в каждой комнате, на кухне, в ванной, в гостиной, даже у меня в комнате. Она занимает всё пространство. Это ад. Сама ничем не занимается. Всегда я всё делаю. Отец говорит, что я преувеличиваю, но я же вижу, что он тоже задыхается. В моей комнате она роется, я знаю, у меня есть доказательства, а отцу она врет,	
-Mais là tu n’as pas de preuves. 	- Но тут у тебя нет доказательств.	
Vay : Moi, c’est sûr, elle n’y verrait rien à redire que j’aille avec le cousin de Richard à l’autre bout du monde. 	Vay : Уверена, она была бы совсем не против, если бы я уехала с двоюродным братом Ришара на другой конец света.	
-« Bye bye little Va-Vay ! ». Elle t’appelle toujours comme ça, « little Va-Vay » ?. 	- «Bye bye little Va-Vay!». Она всё еще так тебя называет, «little Va-Vay»?.	« Bye bye little Va-Vay » mêle anglais affecté et diminutif infantilisant. la reprise anglaise garde le ton condescendant.
Vay : Je suis plus grande qu’elle ! Ça a l’air d’un petit nom gentil, comme ça, vu de loin. Mais c’est méprisant, humiliant. 	Vay : Я выше ее! Издалека это вроде милое прозвище. Но оно презрительное, унизительное.	
-Toi, tu l’appelles « grosse pizza ». 	- Ты ее называешь «толстая пицца».	
Vay : Enfin derrière. Derrière son dos, je veux dire ! Parce que c’est surtout de dos qu’elle parait la plus grosse. 	Vay : Ну, за спиной. В смысле, за ее спиной! Потому что именно со спины она кажется самой толстой.	
-Des fois, elle t’achète des trucs. 	- Иногда она покупает тебе всякие штуки.	
Vay : Pour se faire pardonner. Les trucs, moi je les prends et je les revends. Moi, je ne lui donne jamais rien. A Noël, à son anniv, rien. Elle peut toujours sourire. 	Vay : Чтобы выпросить прощение. Штуки я беру и перепродаю. А я ей никогда ничего не дарю. На Рождество, на день рождения — ничего. Пусть себе улыбается.	
-Ça doit lui pincer le cœur. 	- Ей, наверное, больно в сердце.	
